State,University/College ,Campus,"Student
enrollment","Violent
crime","Murder and
nonnegligent
manslaughter",Rape,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
,North Carolina Central University,,6328,,0,,2,6,150,49,101,0,0
,North Carolina State University,Raleigh,6296,,0,,3,13,249,25,218,6,0
,University of North Carolina:,Asheville,6265,,0,,0,1,24,4,20,0,1
,,Chapel Hill,6233,,1,,3,1,234,25,204,5,1
,,Charlotte,6202,,0,,0,3,149,17,129,3,1
,,Greensboro,6170,,0,,0,0,142,22,119,1,1
,,Wilmington,6139,,0,,0,1,229,3,224,2,2
,Winston-Salem State University,,6107,,0,,1,0,70,17,52,1,0
NORTH DAKOTA,North Dakota State College of Science,,6075,0,0,0,0,0,12,1,10,1,0
,North Dakota State University,,6044,2,0,2,0,0,116,7,108,1,0
,University of North Dakota,,6012,9,0,5,1,3,127,15,112,0,0
OHIO,Capital University,,5981,0,0,0,0,0,53,10,41,2,0
,Cleveland State University,,5949,13,0,3,10,0,146,6,124,16,0
,Columbus State Community College,,5918,1,0,0,1,0,43,1,41,1,0
,Cuyahoga Community College,,5886,0,0,0,0,0,32,2,29,1,0
,Kent State University7,,5855,,0,,0,3,167,2,164,1,0
,Lakeland Community College,,5823,0,0,0,0,0,14,0,14,0,0
,Miami University,,5792,26,0,19,1,6,140,9,131,0,9
,Ohio State University,Columbus,5760,41,0,30,5,6,798,24,763,11,1
,Otterbein University,,5728,0,0,0,0,0,24,1,23,0,0
,Shawnee State University,,5697,2,0,0,1,1,19,4,15,0,0
,Sinclair Community College,,5665,1,0,0,1,0,39,11,28,0,0
,University of Akron,,5634,6,0,5,0,1,183,5,171,7,0
,University of Cincinnati,,5602,39,0,31,1,7,283,15,261,7,0
,University of Toledo,,5571,7,0,0,5,2,185,5,177,3,0
,Wright State University,,5539,7,0,4,3,0,55,2,53,0,0
OKLAHOMA,Cameron University,,5508,0,0,0,0,0,11,2,9,0,0
,East Central University,,5476,0,0,0,0,0,18,2,16,0,0
,Langston University,,5445,16,0,3,2,11,58,25,32,1,1
,Mid-America Christian University,,5413,0,0,0,0,0,2,1,0,1,0
,Northeastern Oklahoma A&M College,,5382,1,0,0,1,0,48,25,21,2,0
,Northeastern State University,Tahlequah,5350,1,0,1,0,0,12,2,9,1,0
,Northwestern Oklahoma State University,,5318,0,0,0,0,0,7,1,6,0,0
,Oklahoma City Community College,,5287,0,0,0,0,0,40,1,39,0,0
,Oklahoma City University,,5255,1,0,0,0,1,34,6,28,0,0
,Oklahoma State University:,Main Campus,5224,7,0,6,0,1,195,61,132,2,1
,,Okmulgee,5192,1,0,0,0,1,14,0,13,1,0
,,Tulsa,5161,0,0,0,0,0,12,2,9,1,0
,Rogers State University,,5129,0,0,0,0,0,3,1,1,1,0
,Seminole State College,,5098,0,0,0,0,0,3,0,3,0,0
,Southeastern Oklahoma State University,,5066,1,0,1,0,0,13,1,10,2,1
,Southwestern Oklahoma State University,,5035,2,0,1,0,1,10,3,7,0,0
,Tulsa Community College,,5003,5,0,0,0,5,27,3,21,3,0
,University of Central Oklahoma,,4972,4,0,1,1,2,45,5,39,1,0
,University of Oklahoma: ,Health Sciences Center,4940,4,0,0,2,2,138,9,126,3,0
,,Norman,4908,13,0,10,2,1,280,9,260,11,0
OREGON,Portland State University,,4877,10,0,2,4,4,328,35,291,2,4
PENNSYLVANIA,Bloomsburg University,,4845,1,0,1,0,0,29,2,26,1,0
,California University,,4814,2,0,1,0,1,35,2,32,1,0
,Cheyney University,,4782,2,0,0,0,2,20,6,14,0,0
,Clarion University,,4751,7,0,4,0,3,15,1,14,0,0
,Dickinson College,,4719,3,0,3,0,0,63,11,52,0,1
,East Stroudsburg University,,4688,7,0,2,3,2,52,2,50,0,0
,Edinboro University,,4656,2,0,0,0,2,42,11,31,0,0
,Elizabethtown College,,4625,3,0,2,0,1,15,1,14,0,0
,Indiana University,,4593,19,0,9,1,9,49,0,49,0,0
,Kutztown University,,4561,12,0,10,2,0,45,2,43,0,0
,Lehigh University,,4530,2,0,2,0,0,30,0,30,0,0
,Lock Haven University,,4498,3,0,2,0,1,23,2,21,0,0
,Mansfield University,,4467,0,0,0,0,0,7,0,7,0,0
,Millersville University,,4435,0,0,0,0,0,22,1,21,0,0
,Moravian College,,4404,0,0,0,0,0,34,7,27,0,0
,Pennsylvania State University:,Altoona,4372,1,0,1,0,0,28,5,22,1,1
,,Beaver,4341,2,0,1,1,0,8,0,8,0,6
,,Behrend,4309,1,0,1,0,0,15,2,13,0,0
,,Berks,4278,1,0,0,0,1,6,0,6,0,0
,,Brandywine,4246,1,0,1,0,0,5,0,4,1,0
,,Fayette,4215,0,0,0,0,0,0,0,0,0,0
,,Greater Allegheny,4183,1,0,1,0,0,1,0,1,0,0
,,Harrisburg,4151,2,0,2,0,0,6,0,6,0,0
,,Hazleton,4120,1,0,1,0,0,4,0,4,0,0
,,Mont Alto,4088,0,0,0,0,0,2,0,2,0,0
,,Schuylkill,4057,2,0,1,1,0,4,1,3,0,0
,,University Park,4025,42,0,25,2,15,411,35,373,3,7
,,Worthington Scranton,3994,0,0,0,0,0,3,0,3,0,0
,Shippensburg University,,3962,0,0,0,0,0,31,9,22,0,0
,Slippery Rock University,,3931,0,0,0,0,0,34,1,33,0,0
,University of Pittsburgh: ,Bradford,3899,1,0,1,0,0,8,1,7,0,0
,,Greensburg,3868,1,0,1,0,0,7,0,7,0,0
,,Johnstown,3836,0,0,0,0,0,30,3,27,0,0
,,Pittsburgh,3805,3,0,1,0,2,170,3,165,2,1
,,Titusville,3773,0,0,0,0,0,4,1,3,0,1
,West Chester University,,3741,3,0,3,0,0,64,4,59,1,0
RHODE ISLAND,Brown University,,3710,0,0,0,0,0,118,14,104,0,0
,University of Rhode Island,,3678,7,0,4,0,3,75,2,72,1,0
SOUTH CAROLINA,Benedict College,,3647,23,0,4,4,15,98,12,83,3,0
,Bob Jones University,,3615,0,0,0,0,0,16,9,7,0,0
,Clemson University,,3584,9,0,5,0,4,216,20,163,33,1
,Coastal Carolina University,,3552,17,0,7,2,8,172,4,168,0,0
,College of Charleston,,3521,1,0,0,0,1,71,1,69,1,0
,Erskine College,,3489,0,0,0,0,0,1,1,0,0,0
,Francis Marion University,,3458,2,0,2,0,0,21,0,21,0,0
,Greenville Technical College,,3426,8,0,2,0,6,27,2,23,2,0
,Medical University of South Carolina,,3394,8,0,3,1,4,107,2,103,2,0
,Midlands Technical College,,3363,0,0,0,0,0,13,0,12,1,0
,Orangeburg-Calhoun Technical College,,3331,0,0,0,0,0,0,0,0,0,0
,Presbyterian College,,3300,2,0,2,0,0,35,16,18,1,1
,South Carolina State University,,3268,3,0,1,1,1,74,32,41,1,0
,Spartanburg Methodist College,,3237,2,0,2,0,0,4,2,2,0,0
,The Citadel,,3205,3,0,0,0,3,24,5,18,1,0
,University of South Carolina:,Aiken,3174,1,0,0,0,1,11,2,9,0,0
,,Beaufort,3142,5,0,3,1,1,6,0,6,0,0
,,Columbia,3111,16,0,10,2,4,329,17,251,61,0
,,Upstate,3079,0,0,0,0,0,38,1,36,1,0
,Winthrop University,,3048,6,0,1,1,4,38,2,35,1,0
SOUTH DAKOTA,South Dakota State University,,3016,2,0,1,0,1,57,3,54,0,0
TENNESSEE,Austin Peay State University,,2984,1,0,0,1,0,54,9,43,2,0
,Chattanooga State Community College,,2953,0,0,0,0,0,6,0,6,0,0
,Christian Brothers University,,2921,0,0,0,0,0,19,1,15,3,0
,Cleveland State Community College,,2890,0,0,0,0,0,4,0,4,0,0
,East Tennessee State University,,2858,5,0,4,0,1,78,4,71,3,1
,Jackson State Community College,,2827,0,0,0,0,0,1,1,0,0,0
,Lincoln Memorial University,,2795,0,0,0,0,0,1,0,1,0,0
,Middle Tennessee State University,,2764,12,0,5,1,6,153,20,128,5,0
,Motlow State Community College,,2732,0,0,0,0,0,0,0,0,0,0
,Northeast State Community College,,2701,0,0,0,0,0,5,0,5,0,0
,Pellissippi State Community College,,2669,0,0,0,0,0,22,0,22,0,0
,Roane State Community College,,2637,0,0,0,0,0,2,0,2,0,0
,Southwest Tennessee Community College,,2606,1,0,1,0,0,15,0,15,0,0
,Tennessee State University,,2574,5,0,1,1,3,66,6,59,1,0
,Tennessee Technological University,,2543,0,0,0,0,0,85,7,76,2,0
,University of Memphis,,2511,12,0,6,2,4,129,15,113,1,0
,University of Tennessee: ,Chattanooga,2480,7,0,2,1,4,102,13,84,5,0
,,Health Science Center,2448,0,0,0,0,0,16,2,13,1,0
,,Knoxville,2417,10,0,2,0,8,229,20,197,12,0
,,Martin,2385,1,0,0,0,1,57,4,53,0,0
,University of the South,,2354,12,0,8,0,4,91,40,50,1,0
,Vanderbilt University,,2322,24,0,7,0,17,383,5,371,7,0
,Volunteer State Community College,,2291,2,0,0,0,2,13,0,13,0,0
,Walters State Community College,,2259,0,0,0,0,0,5,0,5,0,0
TEXAS,Abilene Christian University,,2227,8,0,7,0,1,63,6,56,1,0
,Alamo Colleges District,,2196,8,0,1,2,5,126,17,101,8,0
,Alvin Community College,,2164,0,0,0,0,0,5,0,5,0,0
,Amarillo College,,2133,1,0,0,0,1,13,0,13,0,0
,Angelo State University,,2101,1,0,1,0,0,35,2,31,2,0
,Austin College,,2070,1,0,1,0,0,39,8,30,1,1
,Baylor Health Care System4,,2038,2,0,0,2,0,325,15,297,13,0
,Baylor University,Waco,2007,7,0,4,2,1,219,15,193,11,0
,Brookhaven College,,1975,0,0,0,0,0,6,1,5,0,0
,Central Texas College,,1944,1,0,0,0,1,14,1,13,0,0
,Cisco College,,1912,1,0,1,0,0,8,0,8,0,0
,College of the Mainland,,1881,0,0,0,0,0,13,1,12,0,0
,El Paso Community College,,1849,1,0,0,0,1,28,3,23,2,0
,Grayson College,,1817,1,0,0,0,1,15,2,13,0,0
,Hardin-Simmons University,,1786,2,0,0,0,2,19,2,17,0,0
,Houston Baptist University,,1754,2,0,0,2,0,40,11,28,1,0
,Houston Community College,,1723,10,0,1,8,1,176,11,149,16,0
,Lamar University,Beaumont,1691,7,0,2,0,5,53,3,47,3,0
,Laredo Community College,,1660,2,0,0,0,2,7,0,7,0,0
,Midwestern State University,,1628,9,0,8,0,1,64,11,53,0,0
,Paris Junior College,,1597,1,0,0,0,1,4,0,4,0,0
,Prairie View A&M University,,1565,12,0,7,2,3,57,27,30,0,0
,Rice University,,1534,5,0,0,2,3,187,3,183,1,0
,Southern Methodist University,,1502,7,0,4,0,3,119,5,110,4,0
,South Plains College,,1470,0,0,0,0,0,13,3,9,1,0
,Southwestern University,,1439,0,0,0,0,0,20,4,16,0,0
,Stephen F. Austin State University,,1407,4,0,4,0,0,45,3,42,0,0
,St. Mary's University,,1376,7,0,2,1,4,34,4,30,0,0
,St. Thomas University,,1344,0,0,0,0,0,25,0,25,0,0
,Sul Ross State University,,1313,0,0,0,0,0,24,7,17,0,0
,Tarleton State University,,1281,5,0,3,0,2,66,9,56,1,0
,Texas A&M International University,,1250,4,0,2,1,1,26,5,21,0,0
,Texas A&M University: ,Central Texas,1218,0,0,0,0,0,2,0,2,0,0
,,College Station,1187,19,0,10,1,8,390,31,347,12,0
,,Commerce,1155,7,0,4,1,2,77,32,45,0,0
,,Galveston4,1124,0,0,0,0,0,16,2,14,0,0
,,Kingsville,1092,6,0,5,0,1,64,7,57,0,0
,,San Antonio,1060,0,0,0,0,0,9,0,9,0,0
,Texas Christian University,,1029,5,0,3,1,1,93,13,70,10,0
,Texas State Technical College:,Harlingen4,997,1,0,1,0,0,15,0,15,0,0
,,Waco4,966,12,0,7,1,4,59,16,43,0,1
,,West Texas4,934,0,0,0,0,0,1,0,1,0,0
,Texas Tech University,Lubbock6,903,15,1,5,1,8,436,15,412,9,0
,Texas Woman's University,,871,3,0,3,0,0,40,2,38,0,0
,Tyler Junior College,,840,3,0,2,0,1,31,5,25,1,0
,University of Houston:,Central Campus,808,25,0,10,10,5,440,32,383,25,2
,,Clearlake,777,2,0,2,0,0,24,0,23,1,0
,,Downtown Campus,745,0,0,0,0,0,40,1,35,4,0
,University of North Texas,Denton,714,9,0,5,0,4,169,14,149,6,1
,University of Texas:,Arlington,682,13,0,4,3,6,125,14,109,2,0
,,Austin,650,15,1,6,3,5,380,17,355,8,2
,,Dallas,619,3,0,2,0,1,194,7,185,2,0
,,El Paso,587,6,0,5,0,1,132,13,118,1,0
,,Health Science Center San Antonio6,556,0,0,0,0,0,42,0,41,1,0
,,Health Science Center Tyler,524,3,0,0,0,3,11,0,11,0,0
,,Houston,493,2,0,1,0,1,275,20,250,5,0
,,Medical Branch,461,0,0,0,0,0,82,0,81,1,1
,,Permian Basin,430,1,0,0,0,1,15,6,8,1,0
,,Rio Grande Valley,398,4,0,1,0,3,91,16,75,0,0
,,San Antonio,367,9,0,6,2,1,126,5,117,4,0
,,Southwestern Medical School,335,6,0,1,0,5,175,7,163,5,0
,,Tyler,303,2,0,1,0,1,31,4,26,1,0
,West Texas A&M University,,272,2,0,1,0,1,56,4,52,0,0
UTAH,Brigham Young University,,240,5,0,1,0,4,158,2,151,5,1
,Southern Utah University,,209,1,0,1,0,0,19,3,16,0,0
,University of Utah,,177,12,1,6,0,5,395,32,326,37,0
,Utah State University:,Eastern4,146,1,0,1,0,0,10,3,7,0,0
,,Logan,114,4,0,4,0,0,20,2,17,1,0
,Utah Valley University,,83,1,0,0,0,1,65,3,62,0,0
,Weber State University,,51,3,0,2,1,0,28,6,20,2,
VERMONT,University of Vermont,,20,5,0,4,0,1,103,5,98,0,2
VIRGINIA,Bridgewater College,,-12,0,0,0,0,0,14,0,13,1,0
,Christopher Newport University,,-43,1,0,0,0,1,84,1,79,4,0
,Eastern Virginia Medical School,,-75,1,0,1,0,0,35,0,35,0,0
,Emory and Henry College,,-107,0,0,0,0,0,3,0,3,0,0
,Ferrum College,,-138,2,0,0,2,0,21,0,21,0,0
,George Mason University,,-170,2,0,2,0,0,125,5,119,1,0
,Hampton University,,-201,6,0,4,0,2,27,6,21,0,0
,James Madison University,,-233,4,0,1,0,3,109,7,97,5,2
,J. Sargeant Reynolds Community College,,-264,1,0,0,0,1,13,0,13,0,0
,Longwood University,,-296,1,0,1,0,0,23,0,22,1,0
,Norfolk State University,,-327,7,0,4,3,0,92,6,86,0,2
,Northern Virginia Community College,,-359,1,0,0,1,0,52,0,51,1,0
,Old Dominion University,,-390,32,0,7,3,22,255,18,231,6,0
,Radford University,,-422,4,0,3,0,1,66,6,56,4,3
,Richard Bland College,,-453,0,0,0,0,0,9,0,9,0,0
,University of Mary Washington,,-485,5,0,4,1,0,48,1,47,0,0
,University of Richmond,,-517,4,0,3,0,1,90,13,75,2,0
,University of Virginia's College at Wise,,-548,0,0,0,0,0,9,5,4,0,0
,Virginia Commonwealth University,,-580,22,0,7,2,13,492,8,478,6,2
,Virginia Military Institute,,-611,0,0,0,0,0,21,9,12,0,0
,Virginia Polytechnic Institute and State University,,-643,8,0,4,0,4,204,34,170,0,0
,Virginia State University,,-674,14,0,3,7,4,48,4,43,1,0
,Virginia Western Community College,,-706,0,0,0,0,0,2,0,2,0,0
WASHINGTON,Central Washington University,,-737,5,0,5,0,0,129,8,118,3,0
,Eastern Washington University,,-769,6,0,6,0,0,31,4,27,0,0
,Evergreen State College,,-800,1,0,1,0,0,40,0,39,1,0
,University of Washington,,-832,18,0,7,7,4,536,52,476,8,1
,Washington State University: ,Pullman,-864,9,0,7,0,2,88,17,70,1,0
,,Vancouver4,-895,1,0,1,0,0,3,0,2,1,0
,Western Washington University,,-927,0,0,0,0,0,142,9,133,0,0
WEST VIRGINIA,Marshall University,,-958,12,0,3,2,7,72,6,66,0,0
,Shepherd University,,-990,1,0,1,0,0,9,2,7,0,0
,West Virginia University,,-1021,30,0,11,4,15,255,9,243,3,1
WISCONSIN,Marquette University ,,-1053,33,0,5,15,13,355,42,280,33,1
,University of Wisconsin:,Eau Claire,-1084,3,0,2,0,1,79,8,71,0,1
,,Green Bay,-1116,1,0,1,0,0,19,2,17,0,0
,,La Crosse,-1147,1,0,1,0,0,72,0,72,0,0
,,Madison,-1179,6,0,6,0,0,259,46,210,3,0
,,Milwaukee,-1210,5,0,5,0,0,121,20,99,2,1
,,Oshkosh,-1242,5,0,3,0,2,45,14,31,0,1
,,Parkside,-1274,4,0,2,0,2,29,3,26,0,0
,,Platteville,-1305,1,0,1,0,0,35,4,30,1,0
,,River Falls,-1337,2,0,1,0,1,56,5,51,0,0
,,Stevens Point,-1368,0,0,0,0,0,43,2,41,0,0
,,Stout,-1400,3,0,1,0,2,99,4,95,0,0
,,Superior,-1431,3,0,3,0,0,24,1,23,0,0
,,Whitewater6,-1463,5,0,3,2,0,55,5,49,1,0
WYOMING,University of Wyoming,,-1494,0,0,0,0,0,103,7,95,1,0
